lang,version,book_name,book_abbr,chapter_num,verse_num,verse_text
eng,ASV,Song of Solomon,SNG,5,11,"His head is as the most fine gold; His locks are bushy, and black as a raven. "
eng,ASV,Song of Solomon,SNG,5,12,"His eyes are like doves beside the water-brooks, Washed with milk, and fitly set. "
eng,ASV,Song of Solomon,SNG,5,13,"His cheeks are as a bed of spices, As banks of sweet herbs: His lips are as lilies, dropping liquid myrrh. "
eng,ASV,Song of Solomon,SNG,5,14,His hands are as rings of gold set with beryl: His body is as ivory work overlaid with sapphires. 
eng,ASV,Song of Solomon,SNG,5,15,"His legs are as pillars of marble, set upon sockets of fine gold: His aspect is like Lebanon, excellent as the cedars. "
eng,ASV,Song of Solomon,SNG,5,16,"His mouth is most sweet; Yea, he is altogether lovely. This is my beloved, and this is my friend, O daughters of Jerusalem."
eng,ASV,Song of Solomon,SNG,6,1,"Whither is thy beloved gone, O thou fairest among women? Whither hath thy beloved turned him, That we may seek him with thee? "
eng,ASV,Song of Solomon,SNG,6,2,"My beloved is gone down to his garden, To the beds of spices, To feed in the gardens, and to gather lilies. "
eng,ASV,Song of Solomon,SNG,6,3,"I am my beloved’s, and my beloved is mine: He feedeth his flock among the lilies. "
eng,ASV,Song of Solomon,SNG,6,4,"Thou art fair, O my love, as Tirzah, Comely as Jerusalem, Terrible as an army with banners. "
eng,ASV,Song of Solomon,SNG,6,5,"Turn away thine eyes from me, For they have overcome me. Thy hair is as a flock of goats, That lie along the side of Gilead. "
eng,ASV,Song of Solomon,SNG,6,6,"Thy teeth are like a flock of ewes, Which are come up from the washing; Whereof every one hath twins, And none is bereaved among them. "
eng,ASV,Song of Solomon,SNG,6,7,Thy temples are like a piece of a pomegranate Behind thy veil. 
eng,ASV,Song of Solomon,SNG,6,8,"There are threescore queens, and fourscore concubines, And virgins without number. "
eng,ASV,Song of Solomon,SNG,6,9,"My dove, my undefiled, is but one; She is the only one of her mother; She is the choice one of her that bare her. The daughters saw her, and called her blessed; Yea, the queens and the concubines, and they praised her. "
eng,ASV,Song of Solomon,SNG,6,10,"Who is she that looketh forth as the morning, Fair as the moon, Clear as the sun, Terrible as an army with banners? "
eng,ASV,Song of Solomon,SNG,6,11,"I went down into the garden of nuts, To see the green plants of the valley, To see whether the vine budded, And the pomegranates were in flower. "
eng,ASV,Song of Solomon,SNG,6,12,"Before I was aware, my soul set me Among the chariots of my princely people. "
eng,ASV,Song of Solomon,SNG,6,13,"Return, return, O Shulammite; Return, return, that we may look upon thee. Why will ye look upon the Shulammite, As upon the dance of Mahanaim?"
eng,ASV,Song of Solomon,SNG,7,1,"How beautiful are thy feet in sandals, O prince’s daughter! Thy rounded thighs are like jewels, The work of the hands of a skilful workman. "
eng,ASV,Song of Solomon,SNG,7,2,"Thy body is like a round goblet, Wherein no mingled wine is wanting: Thy waist is like a heap of wheat Set about with lilies. "
eng,ASV,Song of Solomon,SNG,7,3,Thy two breasts are like two fawns That are twins of a roe. 
eng,ASV,Song of Solomon,SNG,7,4,"Thy neck is like the tower of ivory; Thine eyes as the pools in Heshbon, By the gate of Bath-rabbim; Thy nose is like the tower of Lebanon Which looketh toward Damascus. "
eng,ASV,Song of Solomon,SNG,7,5,"Thy head upon thee is like Carmel, And the hair of thy head like purple; The king is held captive in the tresses thereof. "
eng,ASV,Song of Solomon,SNG,7,6,"How fair and how pleasant art thou, O love, for delights! "
eng,ASV,Song of Solomon,SNG,7,7,"This thy stature is like to a palm-tree, And thy breasts to its clusters. "
eng,ASV,Song of Solomon,SNG,7,8,"I said, I will climb up into the palm-tree, I will take hold of the branches thereof: Let thy breasts be as clusters of the vine, And the smell of thy breath like apples, "
eng,ASV,Song of Solomon,SNG,7,9,"And thy mouth like the best wine, That goeth down smoothly for my beloved, Gliding through the lips of those that are asleep. "
eng,ASV,Song of Solomon,SNG,7,10,I am my beloved’s; And his desire is toward me. 
eng,ASV,Song of Solomon,SNG,7,11,"Come, my beloved, let us go forth into the field; Let us lodge in the villages. "
eng,ASV,Song of Solomon,SNG,7,12,"Let us get up early to the vineyards; Let us see whether the vine hath budded, And its blossom is open, And the pomegranates are in flower: There will I give thee my love. "
eng,ASV,Song of Solomon,SNG,7,13,"The mandrakes give forth fragrance; And at our doors are all manner of precious fruits, new and old, Which I have laid up for thee, O my beloved."
eng,ASV,Song of Solomon,SNG,8,1,"Oh that thou wert as my brother, That sucked the breasts of my mother! When I should find thee without, I would kiss thee; Yea, and none would despise me. "
eng,ASV,Song of Solomon,SNG,8,2,"I would lead thee, and bring thee into my mother’s house, Who would instruct me; I would cause thee to drink of spiced wine, Of the juice of my pomegranate. "
eng,ASV,Song of Solomon,SNG,8,3,"His left hand should be under my head, And his right hand should embrace me. "
eng,ASV,Song of Solomon,SNG,8,4,"I adjure you, O daughters of Jerusalem, That ye stir not up, nor awake my love, Until he please. "
eng,ASV,Song of Solomon,SNG,8,5,"Who is this that cometh up from the wilderness, Leaning upon her beloved? Under the apple-tree I awakened thee: There thy mother was in travail with thee, There was she in travail that brought thee forth. "
eng,ASV,Song of Solomon,SNG,8,6,"Set me as a seal upon thy heart, As a seal upon thine arm: For love is strong as death; Jealousy is cruel as Sheol; The flashes thereof are flashes of fire, A very flame of Jehovah. "
eng,ASV,Song of Solomon,SNG,8,7,"Many waters cannot quench love, Neither can floods drown it: If a man would give all the substance of his house for love, He would utterly be contemned. "
eng,ASV,Song of Solomon,SNG,8,8,"We have a little sister, And she hath no breasts: What shall we do for our sister In the day when she shall be spoken for? "
eng,ASV,Song of Solomon,SNG,8,9,"If she be a wall, We will build upon her a turret of silver: And if she be a door, We will inclose her with boards of cedar. "
eng,ASV,Song of Solomon,SNG,8,10,"I am a wall, and my breasts like the towers thereof Then was I in his eyes as one that found peace. "
eng,ASV,Song of Solomon,SNG,8,11,Solomon had a vineyard at Baal-hamon; He let out the vineyard unto keepers; Every one for the fruit thereof was to bring a thousand pieces of silver. 
eng,ASV,Song of Solomon,SNG,8,12,"My vineyard, which is mine, is before me: Thou, O Solomon, shalt have the thousand, And those that keep the fruit thereof two hundred. "
eng,ASV,Song of Solomon,SNG,8,13,"Thou that dwellest in the gardens, The companions hearken for thy voice: Cause me to hear it. "
eng,ASV,Song of Solomon,SNG,8,14,"Make haste, my beloved, And be thou like to a roe or to a young hart Upon the mountains of spices."
