lang,version,book_name,book_abbr,chapter_num,verse_num,verse_text
eng,ASV,2 Corinthians,2CO,5,2,"For verily in this we groan, longing to be clothed upon with our habitation which is from heaven:"
eng,ASV,2 Corinthians,2CO,5,3,if so be that being clothed we shall not be found naked.
eng,ASV,2 Corinthians,2CO,5,4,"For indeed we that are in this tabernacle do groan, being burdened; not for that we would be unclothed, but that we would be clothed upon, that what is mortal may be swallowed up of life."
eng,ASV,2 Corinthians,2CO,5,5,"Now he that wrought us for this very thing is God, who gave unto us the earnest of the Spirit."
eng,ASV,2 Corinthians,2CO,5,6,"Being therefore always of good courage, and knowing that, whilst we are at home in the body, we are absent from the Lord"
eng,ASV,2 Corinthians,2CO,5,7,"(for we walk by faith, not by sight);"
eng,ASV,2 Corinthians,2CO,5,8,"we are of good courage, I say, and are willing rather to be absent from the body, and to be at home with the Lord."
eng,ASV,2 Corinthians,2CO,5,9,"Wherefore also we make it our aim, whether at home or absent, to be well-pleasing unto him."
eng,ASV,2 Corinthians,2CO,5,10,"For we must all be made manifest before the judgment-seat of Christ; that each one may receive the things done in the body, according to what he hath done, whether it be good or bad. "
eng,ASV,2 Corinthians,2CO,5,11,"Knowing therefore the fear of the Lord, we persuade men, but we are made manifest unto God; and I hope that we are made manifest also in your consciences."
eng,ASV,2 Corinthians,2CO,5,12,"We are not again commending ourselves unto you, but speak as giving you occasion of glorying on our behalf, that ye may have wherewith to answer them that glory in appearance, and not in heart."
eng,ASV,2 Corinthians,2CO,5,13,"For whether we are beside ourselves, it is unto God; or whether we are of sober mind, it is unto you."
eng,ASV,2 Corinthians,2CO,5,14,"For the love of Christ constraineth us; because we thus judge, that one died for all, therefore all died;"
eng,ASV,2 Corinthians,2CO,5,15,"and he died for all, that they that live should no longer live unto themselves, but unto him who for their sakes died and rose again."
eng,ASV,2 Corinthians,2CO,5,16,"Wherefore we henceforth know no man after the flesh: even though we have known Christ after the flesh, yet now we know him so no more."
eng,ASV,2 Corinthians,2CO,5,17,"Wherefore if any man is in Christ, he is a new creature: the old things are passed away; behold, they are become new."
eng,ASV,2 Corinthians,2CO,5,18,"But all things are of God, who reconciled us to himself through Christ, and gave unto us the ministry of reconciliation;"
eng,ASV,2 Corinthians,2CO,5,19,"to wit, that God was in Christ reconciling the world unto himself, not reckoning unto them their trespasses, and having committed unto us the word of reconciliation. "
eng,ASV,2 Corinthians,2CO,5,20,"We are ambassadors therefore on behalf of Christ, as though God were entreating by us: we beseech you on behalf of Christ, be ye reconciled to God."
eng,ASV,2 Corinthians,2CO,5,21,Him who knew no sin he made to be sin on our behalf; that we might become the righteousness of God in him.
eng,ASV,2 Corinthians,2CO,6,1,And working together with him we entreat also that ye receive not the grace of God in vain
